name,chrom,species,umap2d_x,umap2d_y
ATMG00440,Mt,arabidopsis,5.945,-2.5048
ATMG00850,Mt,arabidopsis,4.1334,-1.2615
ATMG01350,Mt,arabidopsis,4.5651,-2.7634
ATMG01300,Mt,arabidopsis,5.5997,-2.5289
ATMG01275,Mt,arabidopsis,11.8487,3.9396
AT2G07707,Mt,arabidopsis,11.839,3.9207
ATMG00320,Mt,arabidopsis,4.5455,-2.1891
ATMG01120,Mt,arabidopsis,5.1791,-1.9581
ATMG00960,Mt,arabidopsis,11.8647,3.9548
ATMG00870,Mt,arabidopsis,5.4793,-2.5473
ATMG00660,Mt,arabidopsis,5.5788,-2.6036
cox2,Mt,arabidopsis,11.8535,3.9346
ATMG00410,Mt,arabidopsis,11.7,3.7749
ATMG00590,Mt,arabidopsis,5.0882,-2.03
ATMG00620,Mt,arabidopsis,5.2239,-2.2319
atp1,Mt,arabidopsis,11.8729,3.969
ATMG00280,Mt,arabidopsis,11.5895,3.658
nad7,Mt,arabidopsis,3.7983,4.2127
ATMG00670,Mt,arabidopsis,5.1096,-2.4048
ATMG00760,Mt,arabidopsis,4.9706,-2.486
ATMG01410,Mt,arabidopsis,5.6614,-2.4448
ATMG00010,Mt,arabidopsis,2.0773,-6.4272
ATMG00570,Mt,arabidopsis,11.8216,3.9006
ATMG00820,Mt,arabidopsis,3.669,-1.6843
ATMG00240,Mt,arabidopsis,3.8622,-1.4831
ATMG00610,Mt,arabidopsis,5.0222,-3.0462
ATMG01140,Mt,arabidopsis,5.5666,-2.2563
ATMG00880,Mt,arabidopsis,5.3068,-2.3978
ATMG01200,Mt,arabidopsis,5.0674,-2.5271
ATMG00130,Mt,arabidopsis,4.7718,-2.6504
ATMG00710,Mt,arabidopsis,4.075,-1.4461
ATMG00260,Mt,arabidopsis,5.5384,-2.4779
ABCI5,Mt,arabidopsis,11.8619,3.9459
ATMG00690,Mt,arabidopsis,5.4204,-2.794
ATMG01100,Mt,arabidopsis,5.4771,-2.7092
ATMG00450,Mt,arabidopsis,5.3012,-2.714
ATMG01180,Mt,arabidopsis,5.7914,-2.8583
ATMG00470,Mt,arabidopsis,5.7657,-2.6041
ATMG00285,Mt,arabidopsis,5.3468,-2.0916
ATMG01310,Mt,arabidopsis,5.0894,-2.4134
nad4,Mt,arabidopsis,3.7829,4.2403
ATMG00920,Mt,arabidopsis,5.057,-3.0531
ATMG00890,Mt,arabidopsis,5.5317,-2.4824
ATMG01250,Mt,arabidopsis,3.864,-1.3679
ATMG00030,Mt,arabidopsis,5.4189,-2.5702
rpl2,Mt,arabidopsis,11.6389,3.7821
ATMG00720,Mt,arabidopsis,2.5218,-6.37
ATMG01370,Mt,arabidopsis,6.405,-2.7511
ATMG00550,Mt,arabidopsis,4.9075,-2.2873
ATMG00170,Mt,arabidopsis,5.2452,-2.2338
ATMG00530,Mt,arabidopsis,5.819,-2.6755
ATMG01240,Mt,arabidopsis,5.5174,-2.7301
ATMG01040,Mt,arabidopsis,5.4731,-2.6793
ATMG01220,Mt,arabidopsis,6.1366,-2.7538
ATMG00070,Mt,arabidopsis,11.8637,3.9611
ATMG00140,Mt,arabidopsis,4.4281,-2.5779
ATMG01030,Mt,arabidopsis,5.5498,-2.7075
atp6-2,Mt,arabidopsis,11.5143,3.6591
ATMG01210,Mt,arabidopsis,6.1175,-2.7419
ATMG00490,Mt,arabidopsis,5.4869,-2.5873
ATMG00120,Mt,arabidopsis,5.0404,-2.1512
ATMG00516,Mt,arabidopsis,11.8358,3.9192
ATMG00640,Mt,arabidopsis,11.8611,3.9378
ccmFN1,Mt,arabidopsis,11.8661,3.9573
ATMG00150,Mt,arabidopsis,5.875,-2.6144
AT2G07675,Mt,arabidopsis,11.8694,3.9425
AT2G07701,Mt,arabidopsis,6.046,-2.2887
ATMG00770,Mt,arabidopsis,5.2095,-2.6363
ATMG01290,Mt,arabidopsis,5.3498,-2.6382
ATMG00300,Mt,arabidopsis,3.9673,-1.5042
ATMG00680,Mt,arabidopsis,5.792,-2.7044
ATMG01230,Mt,arabidopsis,6.0594,-2.2045
ATMG01130,Mt,arabidopsis,5.4573,-2.502
ATMG00750,Mt,arabidopsis,3.9011,-1.1695
ATMG01330,Mt,arabidopsis,4.9431,-2.0845
MATR,Mt,arabidopsis,12.1845,4.6399
atp9,Mt,arabidopsis,5.0393,-1.6397
ATMG00810,Mt,arabidopsis,3.6546,-1.6545
ATMG01400,Mt,arabidopsis,6.282,-2.3413
nad6,Mt,arabidopsis,11.8668,3.9622
RPS7,Mt,arabidopsis,11.8779,3.9719
