row_idx,gene_id,name,biotype,chrom,start,end,strand,assembly,species,length,gc_content,seq_len_used,umap2d_x,umap2d_y,umap3d_x,umap3d_y,umap3d_z,hox_cluster
57412,ENSGALG00010001788,HOXA1,protein_coding,2,32479296,32481746,-,GRCg7b,chicken,2451,0.6561,2451,13.2953,9.4867,15.2519,9.1075,8.0927,A
57414,ENSGALG00010001790,HOXA2,protein_coding,2,32485579,32487851,-,GRCg7b,chicken,2273,0.5856,2273,15.5308,4.6628,14.2215,6.4232,3.0136,A
57415,ENSGALG00010001801,HOXA3,protein_coding,2,32491888,32510667,-,GRCg7b,chicken,18780,0.5235,8190,13.1834,10.2438,15.6204,9.5041,8.6459,A
57416,ENSGALG00010001808,HOXA4,protein_coding,2,32512064,32514374,-,GRCg7b,chicken,2311,0.5772,2311,15.5076,4.7644,14.1409,6.6071,2.9847,A
57418,ENSGALG00010001813,HOXA5,protein_coding,2,32525265,32528034,-,GRCg7b,chicken,2770,0.5249,2770,15.4624,4.857,14.097,6.7213,3.0009,A
57419,ENSGALG00010001819,HOXA6,protein_coding,2,32528935,32532085,-,GRCg7b,chicken,3151,0.5271,3151,13.2766,9.52,14.5048,6.2165,3.1505,A
57420,ENSGALG00010001826,HOXA7,protein_coding,2,32537106,32542394,-,GRCg7b,chicken,5289,0.526,5289,13.2449,10.2407,15.5714,9.4445,8.6701,A
57421,ENSGALG00010001840,HOXA9,protein_coding,2,32546009,32563954,-,GRCg7b,chicken,17946,0.5412,8190,13.2257,10.2152,15.6163,9.4728,8.6611,A
57422,ENSGALG00010001844,HOXA10,protein_coding,2,32554165,32559746,-,GRCg7b,chicken,5582,0.5491,5582,13.2133,10.1481,15.5419,9.4312,8.5767,A
57423,ENSGALG00010001848,HOXA11,protein_coding,2,32565244,32569341,-,GRCg7b,chicken,4098,0.5139,4098,13.2465,9.7744,15.471,9.3326,8.345,A
57424,ENSGALG00010001321,HOXA13,protein_coding,2,32582495,32585463,-,GRCg7b,chicken,2969,0.5295,2969,13.2952,9.6886,15.314,9.152,8.2928,A
67595,ENSGALG00010024724,HOXD3,protein_coding,7,15883210,15895207,-,GRCg7b,chicken,11998,0.5823,8190,13.2135,10.2292,15.5795,9.4731,8.671,D
67596,ENSGALG00010024746,HOXD4,protein_coding,7,15898314,15900370,-,GRCg7b,chicken,2057,0.491,2057,15.462,4.6519,14.205,6.3383,3.0504,D
67599,ENSGALG00010024753,HOXD8,protein_coding,7,15913086,15916284,-,GRCg7b,chicken,3199,0.6286,3199,13.3912,9.9778,15.4271,9.2312,8.5813,D
67600,ENSGALG00010024763,HOXD9,protein_coding,7,15919168,15921430,-,GRCg7b,chicken,2263,0.5532,2263,15.5225,4.745,14.1782,6.5452,3.0043,D
67601,ENSGALG00010026746,HOXD10,protein_coding,7,15922631,15927519,-,GRCg7b,chicken,4889,0.53,4889,16.1071,4.9684,14.9311,6.5972,3.3388,D
67604,ENSGALG00010024780,HOXD11,protein_coding,7,15934443,15936738,-,GRCg7b,chicken,2296,0.4856,2296,15.567,4.6247,14.2761,6.3747,3.0065,D
67605,ENSGALG00010024782,HOXD12,protein_coding,7,15941698,15943367,-,GRCg7b,chicken,1670,0.5192,1670,15.5282,4.7165,14.2063,6.4856,3.014,D
67606,ENSGALG00010024790,HOXD13,protein_coding,7,15947381,15949933,-,GRCg7b,chicken,2553,0.5872,2553,13.3066,9.5382,15.2721,9.0978,8.1555,D
77578,ENSBTAG00000015840,HOXD1,protein_coding,2,20724031,20726490,-,ARS-UCD1.3,cow,2460,0.5492,2460,16.2054,3.4803,14.6931,5.2068,2.7862,D
77580,ENSBTAG00000004835,HOXD3,protein_coding,2,20740547,20765626,-,ARS-UCD1.3,cow,25080,0.5238,8190,17.7633,3.633,16.3776,5.2098,3.0901,D
77581,ENSBTAG00000049845,HOXD8,protein_coding,2,20780820,20784011,-,ARS-UCD1.3,cow,3192,0.5263,3192,16.0459,4.5414,14.6809,6.2796,3.0074,D
77582,ENSBTAG00000016033,HOXD9,protein_coding,2,20788260,20790849,-,ARS-UCD1.3,cow,2590,0.6039,2590,15.5009,4.7818,14.1273,6.6423,2.9996,D
77583,ENSBTAG00000016030,HOXD10,protein_coding,2,20793704,20797179,-,ARS-UCD1.3,cow,3476,0.5141,3476,15.5772,4.9569,14.2154,6.7886,3.0074,D
77584,ENSBTAG00000033330,HOXD11,protein_coding,2,20803593,20809661,-,ARS-UCD1.3,cow,6069,0.6036,6069,17.4162,4.0588,16.0905,5.6309,3.2215,D
77585,ENSBTAG00000004314,HOXD12,protein_coding,2,20812814,20813774,-,ARS-UCD1.3,cow,961,0.6514,961,15.3721,4.9212,14.0175,6.8051,2.972,D
77586,ENSBTAG00000004313,HOXD13,protein_coding,2,20817850,20820662,-,ARS-UCD1.3,cow,2813,0.503,2813,15.9132,4.3178,14.5429,6.079,2.9875,D
81161,ENSBTAG00000014735,HOXA13,protein_coding,4,68842500,68844696,+,ARS-UCD1.3,cow,2197,0.6172,2197,15.4834,4.87,14.1253,6.7314,2.9348,A
81163,ENSBTAG00000014738,HOXA11,protein_coding,4,68857083,68860798,+,ARS-UCD1.3,cow,3716,0.5708,3716,15.5945,4.8941,14.2155,6.7498,2.9769,A
81164,ENSBTAG00000040082,HOXA10,protein_coding,4,68862754,68872131,+,ARS-UCD1.3,cow,9378,0.54,8190,17.3019,4.2298,15.958,5.8421,3.124,A
81165,ENSBTAG00000053595,HOXA9,protein_coding,4,68876700,68880437,+,ARS-UCD1.3,cow,3738,0.5257,3738,15.8519,4.885,14.5152,6.6753,3.0366,A
81166,ENSBTAG00000001455,HOXA7,protein_coding,4,68885933,68888817,+,ARS-UCD1.3,cow,2885,0.5764,2885,15.5453,4.8913,14.1884,6.7416,2.9732,A
81168,ENSBTAG00000024341,HOXA6,protein_coding,4,68894951,68898027,+,ARS-UCD1.3,cow,3077,0.557,3077,15.5928,4.9209,14.2402,6.7526,2.9813,A
81169,ENSBTAG00000012211,HOXA5,protein_coding,4,68897373,68901559,+,ARS-UCD1.3,cow,4187,0.5508,4187,15.8293,4.9849,14.4471,6.7474,3.0663,A
81170,ENSBTAG00000008139,HOXA3,protein_coding,4,68902556,68934981,+,ARS-UCD1.3,cow,32426,0.49,8190,17.8187,3.6399,16.4234,5.2066,3.0945,A
81171,ENSBTAG00000008138,HOXA2,protein_coding,4,68939317,68941279,+,ARS-UCD1.3,cow,1963,0.5262,1963,15.3524,4.9518,13.9963,6.8321,2.9287,A
81173,ENSBTAG00000013263,HOXA1,protein_coding,4,68945049,68948579,+,ARS-UCD1.3,cow,3531,0.5276,3531,15.7007,4.8498,14.3566,6.6655,2.976,A
81979,ENSBTAG00000003304,HOXC4,protein_coding,5,25950127,25979765,-,ARS-UCD1.3,cow,29639,0.4811,8190,19.9841,2.0405,18.0018,3.9071,1.0681,C
81982,ENSBTAG00000009634,HOXC5,protein_coding,5,25997378,25999826,-,ARS-UCD1.3,cow,2449,0.5937,2449,15.4588,4.867,14.0788,6.7292,2.9829,C
81983,ENSBTAG00000009238,HOXC6,protein_coding,5,26002110,26015460,-,ARS-UCD1.3,cow,13351,0.5226,8190,16.8478,4.9895,15.5768,6.5808,3.277,C
81984,ENSBTAG00000012149,HOXC8,protein_coding,5,26020239,26023561,-,ARS-UCD1.3,cow,3323,0.5441,3323,15.5003,4.9441,14.1464,6.7932,2.9939,C
81985,ENSBTAG00000005606,HOXC9,protein_coding,5,26028919,26038153,-,ARS-UCD1.3,cow,9235,0.5783,8190,16.6241,5.1105,15.3769,6.7021,3.3186,C
81986,ENSBTAG00000003278,HOXC10,protein_coding,5,26042191,26047529,-,ARS-UCD1.3,cow,5339,0.5355,5339,16.0962,5.0353,14.749,6.7723,3.1484,C
